month,sales_total,sales_total_lag_1,sales_total_lag_2,sales_total_lag_3,sales_total_lag_6,sales_total_lag_12,sales_total_lag_24,sales_total_roll3,sales_total_roll12,sales_total_roll3_std,sales_COM_lag_1,sales_COM_lag_2,sales_COM_lag_3,sales_COM_lag_6,sales_COM_lag_12,sales_COM_lag_24,sales_COM_roll3,sales_COM_roll12,sales_COM_roll3_std,sales_IND_lag_1,sales_IND_lag_2,sales_IND_lag_3,sales_IND_lag_6,sales_IND_lag_12,sales_IND_lag_24,sales_IND_roll3,sales_IND_roll12,sales_IND_roll3_std,sales_RES_lag_1,sales_RES_lag_2,sales_RES_lag_3,sales_RES_lag_6,sales_RES_lag_12,sales_RES_lag_24,sales_RES_roll3,sales_RES_roll12,sales_RES_roll3_std,month_num,year,quarter,temp_avg_f,heating_degree_days,cooling_degree_days
2003-12,293836.14216,262976.70136,277380.21575,306589.90447,290449.88234,286462.39615,268610.91126,282315.60719333333,290530.0616641667,22221.530953170455,92488.905868312,97554.621879275,107827.669402099,102151.223618978,100619.9166476875,94228.707670008,99290.39904989534,102168.6803474318,7815.312436230228,72003.020832368,75946.70307234999,83944.315843886,79525.177784692,79006.32885816999,74620.11114802801,77298.01324953466,79594.87461634049,6084.255174978142,98484.77465932,103878.890798375,114817.919224015,108773.48093633,106836.1506441425,99762.092441964,105727.19489390333,108766.50670039438,8321.96334196239,12,2003,4,35.29,29.71,0.0
2004-01,307856.46486,293836.14216,262976.70136,277380.21575,334208.69307,304262.59845,290967.48001,278064.35309,291144.54049833334,15441.091429920081,103342.171197672,92488.905868312,97554.621879275,117541.197352719,107009.155874865,102202.3273535125,97795.232981753,102395.53489326383,5430.631855903163,80452.33572340799,72003.020832368,75946.70307234999,91506.340162566,83307.09945560999,80248.830986758,76134.01987604199,79715.37518844366,4227.770833512227,110041.63523892,98484.77465932,103878.890798375,125161.155554715,113946.343119525,108516.3216697295,104135.100232205,109033.63041662583,5782.688740505156,1,2004,1,30.36,34.64,0.0
2004-02,286433.35172,307856.46486,293836.14216,262976.70136,341819.27853,282239.57466,263728.26311,288223.10279333335,291444.0293658333,22960.356076350017,108411.654100449,103342.171197672,92488.905868312,120217.840259001,99263.658407922,92634.5524173875,101414.24372214433,102512.40974539584,8134.565512624359,83675.387148948,80452.33572340799,72003.020832368,93590.118461514,77277.19554190799,72736.254965738,78710.24790157466,79746.06582955517,6028.033372613553,115769.423610603,110041.63523892,98484.77465932,128011.319809485,105698.72071017,98357.4557268745,108098.61116961432,109185.55379088235,8804.616927652069,2,2004,1,33.57,31.43,0.0
2004-03,278181.55766,286433.35172,307856.46486,293836.14216,306589.90447,274473.4193,267459.80047,296041.98624666664,291793.5107875,10880.567781752457,100867.504808198,108411.654100449,103342.171197672,107827.669402099,96532.30156781,93945.25491508751,104207.11003543966,102646.06361208549,3845.729648682152,77852.58499749599,83675.387148948,80452.33572340799,83944.315843886,75150.82220434,73765.412969626,80660.102623284,79794.01495085417,2916.9558682385673,107713.261914306,115769.423610603,110041.63523892,114817.919224015,102790.29552785,99749.13258528653,111174.773587943,109353.43222456034,4145.89401790977,3,2004,1,47.39,17.61,0.0
2004-04,262850.98943,278181.55766,286433.35172,307856.46486,277380.21575,256709.98509,257946.37508,290823.7914133333,292102.5223175,15316.886101872582,97961.635529969,100867.504808198,108411.654100449,97554.621879275,90284.901756153,90603.66424685,102413.59814620535,102765.17477559875,5393.841440774682,75609.74737198799,77852.58499749599,83675.387148948,75946.70307234999,70287.193917642,71141.610247064,79045.90650614399,79832.25871482483,4163.1296424890725,104610.174758043,107713.261914306,115769.423610603,103878.890798375,96137.889416205,96201.100586086,109364.286760984,109505.08882707643,5759.915018609295,4,2004,2,52.66,12.340000000000003,0.0
2004-05,279035.82591,262850.98943,278181.55766,286433.35172,262976.70136,268788.0908,269323.29396,275821.96627000003,292614.27267916664,11966.94223433912,92562.9759277745,97961.635529969,100867.504808198,92488.905868312,94532.77153436,94599.80700345,97130.70542198051,102955.01428990054,4214.158707822933,71442.898927074,75609.74737198799,77852.58499749599,72003.020832368,73594.17926104,74279.36447416799,74968.41043218599,79928.56746561083,3252.614899293551,98845.1145751515,104610.174758043,107713.261914306,98484.77465932,100661.1400046,100444.122482382,103722.85041583348,109730.69092365529,4500.168627223407,5,2004,2,61.9,3.1000000000000014,0.0
2004-06,307772.35889,279035.82591,262850.98943,278181.55766,293836.14216,290449.88234,296469.77249,273356.12433333334,293468.250605,9107.735067712945,98262.46609420652,92562.9759277745,97961.635529969,103342.171197672,102151.223618978,104135.0075871125,96262.35918398334,103265.82216988776,3207.2889040956657,75841.937482338,71442.898927074,75609.74737198799,80452.33572340799,79525.177784692,81766.363252742,74298.1945938,80115.880650719,2475.482391404625,104931.4223334555,98845.1145751515,104610.174758043,110041.63523892,108773.48093633,110568.4016501455,102795.57055555,110086.54778439326,3424.9637722136854,6,2004,2,68.05,0.0,3.049999999999997
2004-07,333907.04358,307772.35889,279035.82591,262850.98943,307856.46486,334208.69307,337284.67683,283219.72474333335,294911.7903175,22751.06845020945,108382.0361831135,98262.46609420652,92562.9759277745,108411.654100449,117541.197352719,118471.2427365375,99735.82606836484,103785.05655023236,8011.788754741448,83652.52714630199,75841.937482338,71442.898927074,83675.387148948,91506.340162566,93023.113869714,76979.121185238,80459.82643085317,6183.740404767014,115737.79556058448,104931.4223334555,98845.1145751515,115769.423610603,125161.155554715,125790.32022374852,106504.77748973049,110666.90733641446,8555.539290701345,7,2004,3,72.88,0.0,7.8799999999999955
2004-08,330926.52841,333907.04358,307772.35889,279035.82591,286433.35172,341819.27853,338114.51829,306905.0761266667,294886.65286,27445.887974171987,117585.365396697,108382.0361831135,98262.46609420652,100867.504808198,120217.840259001,118762.7245493625,108076.62255800566,103788.73722056388,9665.069450104762,90755.934445044,83652.52714630199,75841.937482338,77852.58499749599,93590.118461514,93251.984144382,83416.79969122799,80397.29262105965,7459.792351379989,125565.743738259,115737.79556058448,104931.4223334555,107713.261914306,128011.319809485,126099.8095962555,115411.653877433,110700.62301837646,10321.02617268743,8,2004,3,70.14,0.0,5.140000000000001
2004-09,308565.83256,330926.52841,333907.04358,307772.35889,278181.55766,306589.90447,310497.88323,324201.97696,293978.9236833334,14306.296869357679,116535.77697958153,117585.365396697,108382.0361831135,97961.635529969,107827.669402099,109062.38148453749,114167.72618646402,103481.89861394558,5037.96244254442,89945.830421838,90755.934445044,83652.52714630199,75609.74737198799,83944.315843886,85635.31619483398,88118.097337728,80093.60195108666,3888.4514890914675,124444.92100858052,125565.743738259,115737.79556058448,104610.174758043,114817.919224015,115800.18555062848,121916.15343580798,110403.42311830109,5379.882937722034,9,2004,3,65.64,0.0,0.6400000000000006
